transaction_id,merchant_id,timestamp,amount,payment_method,failed_attempts,transactions_1min,transactions_5min,transactions_10min,transactions_1hour,avg_amount_24h,std_amount_24h,device_id,ip_address,new_device,new_ip,latitude,longitude,previous_latitude,previous_longitude,is_fraud,fraud_type
TXN_000731,MERCHANT_022,2026-09-01 00:00:59,514.6,UPI,0,0,3,10,44,483.67,247.71,DEVICE_0368,192.168.227.231,0,0,28.64289,76.0169,28.66329,75.95837,0,NORMAL
TXN_003146,MERCHANT_072,2026-09-01 00:03:51,577.5,UPI,0,0,5,5,41,650.78,173.05,DEVICE_0283,192.168.154.226,0,0,27.24089,89.52564,27.21645,89.51753,0,NORMAL
TXN_003158,MERCHANT_095,2026-09-01 00:04:12,1231.45,NETBANKING,0,1,1,3,53,961.83,155.98,DEVICE_0306,192.168.237.173,0,0,34.01019,79.26533,33.97304,79.30512,0,NORMAL
TXN_009305,MERCHANT_080,2026-09-01 00:04:48,534.11,CARD,0,0,3,5,42,466.97,147.15,DEVICE_0235,192.168.249.235,0,0,24.57669,72.76592,24.67436,72.74816,0,NORMAL
TXN_005477,MERCHANT_085,2026-09-01 00:05:53,131.29,UPI,1,1,4,6,35,200.42,113.79,DEVICE_0441,192.168.221.226,0,0,16.77718,80.34432,16.80855,80.28641,0,NORMAL
TXN_005222,MERCHANT_048,2026-09-01 00:07:34,828.0,UPI,0,2,2,4,41,793.99,52.04,DEVICE_0346,192.168.111.92,0,0,28.03769,75.6256,28.04811,75.66578,0,NORMAL
TXN_000182,MERCHANT_096,2026-09-01 00:12:07,227.51,CARD,0,0,0,9,38,263.26,139.5,DEVICE_0227,192.168.217.210,0,0,23.69567,69.73646,23.68997,69.66741,0,NORMAL
TXN_005786,MERCHANT_049,2026-09-01 00:12:35,10.0,UPI,0,0,8,8,38,217.79,131.36,DEVICE_0074,192.168.223.218,0,0,32.17779,84.16925,32.11336,84.07126,0,NORMAL
TXN_003582,MERCHANT_059,2026-09-01 00:12:46,412.89,WALLET,0,2,3,8,34,498.07,69.15,DEVICE_0088,192.168.110.190,0,0,23.36565,70.96601,23.37917,70.93053,0,NORMAL
TXN_009401,MERCHANT_090,2026-09-01 00:14:29,12.8,CARD,0,1,8,8,40,279.89,188.95,DEVICE_0223,192.168.63.135,0,0,19.16197,68.26695,19.19444,68.23823,0,NORMAL
TXN_008014,MERCHANT_054,2026-09-01 00:14:30,734.61,UPI,2,1,1,6,37,863.31,149.5,DEVICE_0193,192.168.198.62,0,0,20.50252,81.91969,20.5137,81.86929,0,NORMAL
TXN_006572,MERCHANT_069,2026-09-01 00:15:14,237.23,NETBANKING,0,1,3,9,43,204.96,171.79,DEVICE_0072,192.168.211.201,0,0,26.34756,82.77175,26.37668,82.75466,0,NORMAL
TXN_008912,MERCHANT_028,2026-09-01 00:15:45,821.79,UPI,1,1,6,12,34,980.34,68.16,DEVICE_0013,192.168.121.185,0,0,20.62141,83.04389,20.56883,82.9481,0,NORMAL
TXN_000867,MERCHANT_094,2026-09-01 00:16:01,885.39,WALLET,0,1,2,10,56,862.0,103.19,DEVICE_0044,192.168.209.81,0,0,19.06066,77.21124,19.10623,77.19194,0,NORMAL
TXN_001498,MERCHANT_059,2026-09-01 00:18:00,455.74,NETBANKING,1,1,1,8,44,380.1,96.08,DEVICE_0040,192.168.217.236,0,0,13.29095,73.05925,13.26614,73.11818,0,NORMAL
TXN_007989,MERCHANT_023,2026-09-01 00:20:59,873.62,UPI,0,1,3,11,42,969.77,97.63,DEVICE_0386,192.168.58.43,0,0,25.57404,68.96848,25.62177,69.00994,0,NORMAL
TXN_005824,MERCHANT_023,2026-09-01 00:21:13,960.15,CARD,0,2,2,4,39,901.78,87.81,DEVICE_0270,192.168.67.194,0,0,12.95415,89.27325,12.91275,89.34712,0,NORMAL
TXN_009391,MERCHANT_090,2026-09-01 00:21:23,507.71,CARD,7,33,47,119,217,341.32,109.6,DEVICE_0345,192.168.202.211,0,1,15.2349,89.68058,15.19357,89.75642,1,VELOCITY_SPIKE
TXN_001885,MERCHANT_045,2026-09-01 00:21:36,947.7,CARD,2,0,4,4,43,869.47,240.51,DEVICE_0065,192.168.155.33,0,0,17.48464,83.80545,17.39171,83.79011,0,NORMAL
TXN_001826,MERCHANT_036,2026-09-01 00:23:29,804.72,NETBANKING,0,2,4,5,41,847.75,72.15,DEVICE_0011,192.168.171.5,0,0,24.56466,89.18708,24.53407,89.28225,0,NORMAL
TXN_005261,MERCHANT_023,2026-09-01 00:25:45,560.98,CARD,0,0,4,4,34,482.98,137.24,DEVICE_0070,192.168.144.170,0,0,9.85875,83.55876,9.89468,83.48999,0,NORMAL
TXN_000140,MERCHANT_083,2026-09-01 00:26:17,496.3,UPI,0,2,4,4,33,636.74,235.24,DEVICE_0176,192.168.20.54,0,0,29.92255,88.80649,29.96339,88.78518,0,NORMAL
TXN_004814,MERCHANT_083,2026-09-01 00:26:39,811.63,CARD,2,2,6,12,32,747.71,191.82,DEVICE_0264,192.168.121.203,0,0,13.8697,88.88657,13.86004,88.86533,0,NORMAL
TXN_006311,MERCHANT_042,2026-09-01 00:30:54,863.88,WALLET,0,2,2,9,30,633.73,210.29,DEVICE_0372,192.168.174.136,1,0,10.36486,76.60322,10.3555,76.6742,0,NORMAL
TXN_006998,MERCHANT_025,2026-09-01 00:31:49,461.29,UPI,0,0,4,7,39,276.58,234.02,DEVICE_0100,192.168.17.61,0,0,13.28332,85.98254,13.28997,85.99921,0,NORMAL
TXN_004286,MERCHANT_005,2026-09-01 00:32:55,574.72,UPI,0,2,2,6,36,641.45,136.95,DEVICE_0044,192.168.100.111,0,0,16.04825,69.38097,16.00092,69.33048,0,NORMAL
TXN_003078,MERCHANT_010,2026-09-01 00:33:10,10.0,UPI,0,1,9,9,46,271.33,220.26,DEVICE_0182,192.168.44.238,0,0,19.74781,77.22727,19.73807,77.23057,0,NORMAL
TXN_004421,MERCHANT_068,2026-09-01 00:33:22,1061.92,WALLET,0,0,5,6,40,782.13,238.58,DEVICE_0485,192.168.179.127,0,0,10.52654,84.70989,10.58678,84.78348,0,NORMAL
TXN_005859,MERCHANT_055,2026-09-01 00:34:43,324.42,WALLET,1,1,3,6,33,225.02,127.91,DEVICE_0439,192.168.9.63,0,0,13.90844,89.77696,13.89953,89.82155,0,NORMAL
TXN_006164,MERCHANT_066,2026-09-01 00:36:56,189.83,NETBANKING,3,0,2,11,29,236.62,78.51,DEVICE_0302,192.168.24.19,0,0,33.10496,87.48954,33.10931,87.49249,0,NORMAL
TXN_007700,MERCHANT_033,2026-09-01 00:37:25,927.59,UPI,1,3,7,10,37,842.41,82.15,DEVICE_0480,192.168.0.58,0,0,29.05916,82.52254,29.08311,82.49104,0,NORMAL
TXN_003015,MERCHANT_017,2026-09-01 00:37:41,867.02,UPI,2,0,6,7,33,611.92,161.62,DEVICE_0288,192.168.51.74,0,0,31.03851,81.018,31.05983,80.91249,0,NORMAL
TXN_008068,MERCHANT_045,2026-09-01 00:37:52,636.56,WALLET,0,2,2,11,37,543.5,71.52,DEVICE_0171,192.168.142.78,0,1,18.73748,83.02545,18.72916,83.0013,0,NORMAL
TXN_005882,MERCHANT_033,2026-09-01 00:37:53,388.35,NETBANKING,0,0,9,9,41,216.31,110.72,DEVICE_0278,192.168.206.149,0,0,25.75483,69.21962,25.78972,69.18117,0,NORMAL
TXN_005106,MERCHANT_072,2026-09-01 00:38:14,799.61,WALLET,1,1,2,11,34,651.47,170.71,DEVICE_0296,192.168.49.96,0,0,24.74443,76.12633,24.77725,76.00806,0,NORMAL
TXN_002957,MERCHANT_011,2026-09-01 00:39:42,701.48,CARD,1,0,4,4,45,570.35,150.09,DEVICE_0494,192.168.206.83,0,0,25.222,72.77199,25.22847,72.75546,0,NORMAL
TXN_006090,MERCHANT_053,2026-09-01 00:42:19,669.88,WALLET,0,2,2,5,50,420.49,106.95,DEVICE_0150,192.168.107.203,0,0,14.43603,79.44718,14.43058,79.44329,0,NORMAL
TXN_009414,MERCHANT_076,2026-09-01 00:42:49,434.4,UPI,1,2,7,7,37,460.73,121.41,DEVICE_0451,192.168.164.105,0,0,17.34823,84.28975,17.36514,84.34052,0,NORMAL
TXN_002016,MERCHANT_035,2026-09-01 00:44:04,842.23,UPI,0,2,2,10,30,892.86,196.52,DEVICE_0114,192.168.198.51,0,0,11.65932,79.94488,11.70413,79.85904,0,NORMAL
TXN_003278,MERCHANT_011,2026-09-01 00:44:19,503.74,UPI,2,4,4,4,35,477.07,143.91,DEVICE_0390,192.168.239.73,0,0,11.68136,71.54101,11.76032,71.58464,0,NORMAL
TXN_008968,MERCHANT_067,2026-09-01 00:44:38,7040.23,WALLET,0,0,2,8,38,761.33,167.32,DEVICE_0471,192.168.129.245,0,1,11.55453,75.61977,11.62415,75.71286,1,AMOUNT_ANOMALY
TXN_001956,MERCHANT_041,2026-09-01 00:44:46,281.47,CARD,1,1,7,9,29,624.03,195.94,DEVICE_0375,192.168.30.48,0,0,9.25754,77.98348,9.30909,78.01109,0,NORMAL
TXN_007298,MERCHANT_100,2026-09-01 00:47:54,279.98,NETBANKING,0,2,6,6,32,278.65,108.07,DEVICE_0076,192.168.190.58,0,0,17.13358,89.64994,17.12736,89.6519,0,NORMAL
TXN_003196,MERCHANT_097,2026-09-01 00:48:05,506.58,CARD,0,0,7,12,43,453.12,62.58,DEVICE_0210,192.168.241.102,0,0,33.03168,71.47141,33.05803,71.45749,0,NORMAL
TXN_002961,MERCHANT_091,2026-09-01 00:48:23,358.18,CARD,0,1,4,6,43,238.86,155.49,DEVICE_0468,192.168.232.84,0,0,30.3905,68.13647,30.38771,68.09482,0,NORMAL
TXN_006185,MERCHANT_003,2026-09-01 00:48:47,401.35,CARD,0,0,7,9,41,574.17,136.86,DEVICE_0285,192.168.125.167,0,0,8.02546,71.01115,8.03026,71.06107,0,NORMAL
TXN_008084,MERCHANT_038,2026-09-01 00:48:52,922.88,NETBANKING,1,2,2,10,37,776.17,133.44,DEVICE_0101,192.168.241.238,0,0,33.28335,80.86456,33.26076,80.84067,0,NORMAL
TXN_002035,MERCHANT_037,2026-09-01 00:49:50,365.6,CARD,0,1,4,9,42,377.17,90.36,DEVICE_0490,192.168.113.35,0,0,11.58558,76.98555,11.50979,76.96126,0,NORMAL
TXN_001794,MERCHANT_028,2026-09-01 00:50:02,565.75,CARD,1,1,5,7,41,442.49,136.87,DEVICE_0265,192.168.156.27,0,0,30.19186,85.97883,30.18805,85.94312,0,NORMAL
TXN_000151,MERCHANT_006,2026-09-01 00:51:29,111.52,NETBANKING,0,2,4,6,24,462.27,213.15,DEVICE_0328,192.168.105.216,0,0,15.15719,83.31623,15.23247,83.38195,0,NORMAL
TXN_009552,MERCHANT_073,2026-09-01 00:53:12,707.75,WALLET,0,1,2,7,45,977.92,227.61,DEVICE_0150,192.168.178.72,0,0,13.52658,86.9993,13.45876,86.95174,0,NORMAL
TXN_000961,MERCHANT_069,2026-09-01 00:53:17,876.7,WALLET,0,1,7,11,31,609.38,242.99,DEVICE_0080,192.168.71.228,0,0,20.25763,78.89989,20.21021,78.94327,0,NORMAL
TXN_006222,MERCHANT_086,2026-09-01 00:54:23,241.56,CARD,1,0,4,5,40,349.16,235.17,DEVICE_0055,192.168.75.98,0,0,10.07375,70.87288,9.93823,70.82753,0,NORMAL
TXN_005218,MERCHANT_033,2026-09-01 00:54:39,729.14,CARD,1,0,8,8,36,749.74,149.71,DEVICE_0089,192.168.14.67,0,0,28.57612,87.78959,28.57169,87.71964,0,NORMAL
TXN_009013,MERCHANT_098,2026-09-01 00:58:11,8920.7,WALLET,0,0,4,5,47,921.8,182.24,DEVICE_0212,192.168.171.172,0,0,34.36321,72.12306,34.37466,72.12521,1,AMOUNT_ANOMALY
TXN_002506,MERCHANT_051,2026-09-01 00:58:30,5384.21,WALLET,0,1,4,8,47,773.72,150.73,DEVICE_0399,192.168.56.130,0,0,28.38243,81.5835,28.43093,81.544,1,AMOUNT_ANOMALY
TXN_009482,MERCHANT_002,2026-09-01 00:59:17,486.5,NETBANKING,0,3,3,8,43,546.86,102.09,DEVICE_0494,192.168.85.247,0,0,26.91882,78.02057,26.86698,78.03659,0,NORMAL
TXN_004810,MERCHANT_055,2026-09-01 01:01:52,594.5,NETBANKING,0,1,7,7,49,381.34,159.07,DEVICE_0405,192.168.106.106,0,0,21.36368,81.3533,21.32784,81.26222,0,NORMAL
TXN_005368,MERCHANT_050,2026-09-01 01:03:42,382.33,CARD,1,1,8,8,38,501.35,66.69,DEVICE_0485,192.168.154.134,0,0,20.86657,73.32958,20.81116,73.1815,0,NORMAL
TXN_007961,MERCHANT_023,2026-09-01 01:04:38,316.47,WALLET,1,1,1,2,46,241.84,205.59,DEVICE_0155,192.168.47.164,0,1,16.1652,79.2825,16.09532,79.29086,0,NORMAL
TXN_003155,MERCHANT_087,2026-09-01 01:07:27,720.93,WALLET,0,2,6,8,34,693.96,179.08,DEVICE_0492,192.168.239.86,0,0,18.78524,83.21032,18.79126,83.23385,0,NORMAL
TXN_000299,MERCHANT_017,2026-09-01 01:08:10,883.2,WALLET,0,1,5,10,29,926.15,110.93,DEVICE_0404,192.168.78.56,0,0,21.80878,77.68327,21.81053,77.78598,0,NORMAL
TXN_001659,MERCHANT_026,2026-09-01 01:08:12,277.17,UPI,2,0,5,5,35,357.72,93.11,DEVICE_0089,192.168.110.216,0,0,22.81032,77.12251,22.74125,77.04879,0,NORMAL
